Nível Territorial (Código);Nível Territorial;Unidade de Medida (Código);Unidade de Medida;Valor;Brasil (Código);Brasil;Mês (Código);Mês;Variável (Código);Variável;Geral, grupo, subgrupo, item e subitem (Código);Geral, grupo, subgrupo, item e subitem
1;Brasil;2;%;0,22;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7169;Índice geral
1;Brasil;2;%;-0,1;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7170;1.Alimentação e bebidas
1;Brasil;2;%;-0,32;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7171;11.Alimentação no domicílio
1;Brasil;2;%;-0,05;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7172;1101.Cereais, leguminosas e oleaginosas
1;Brasil;2;%;1,02;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7173;1101002.Arroz
1;Brasil;2;%;-4,87;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7175;1101051.Feijão - mulatinho
1;Brasil;2;%;0,66;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7176;1101052.Feijão - preto
1;Brasil;2;%;8,86;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;47617;1101053.Feijão - macáçar (fradinho)
1;Brasil;2;%;-4,44;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;12222;1101073.Feijão - carioca (rajado)
1;Brasil;2;%;1,53;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;47618;1101079.Milho (em grão)
1;Brasil;2;%;0,92;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7184;1102.Farinhas, féculas e massas
1;Brasil;2;%;-0,75;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7185;1102001.Farinha de arroz
1;Brasil;2;%;0,1;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7187;1102006.Macarrão
1;Brasil;2;%;0,24;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7188;1102008.Fubá de milho
1;Brasil;2;%;1,74;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7190;1102010.Flocos de milho
1;Brasil;2;%;-0,21;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7191;1102012.Farinha de trigo
1;Brasil;2;%;3,84;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7195;1102023.Farinha de mandioca
1;Brasil;2;%;0,3;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;107608;1102029.Massa semipreparada
1;Brasil;2;%;0,17;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;47619;1102061.Macarrão instantâneo
1;Brasil;2;%;10,62;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7200;1103.Tubérculos, raízes e legumes
1;Brasil;2;%;1,48;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7201;1103002.Batata-doce
1;Brasil;2;%;5,23;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7202;1103003.Batata-inglesa
1;Brasil;2;%;0,4;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7204;1103005.Mandioca (aipim)
1;Brasil;2;%;13,66;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7206;1103020.Abobrinha
1;Brasil;2;%;15,85;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7209;1103025.Pepino
1;Brasil;2;%;-18,26;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7210;1103026.Pimentão
1;Brasil;2;%;28,96;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7212;1103028.Tomate
1;Brasil;2;%;-8,64;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7215;1103043.Cebola
1;Brasil;2;%;16,46;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7216;1103044.Cenoura
1;Brasil;2;%;1,19;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7219;1104.Açúcares e derivados
1;Brasil;2;%;0,52;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7220;1104003.Açúcar refinado
1;Brasil;2;%;4,32;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7221;1104004.Açúcar cristal
1;Brasil;2;%;-1,15;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;12224;1104018.Balas
1;Brasil;2;%;1,48;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;107609;1104023.Chocolate em barra e bombom
1;Brasil;2;%;0,42;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7230;1104032.Sorvete
1;Brasil;2;%;0;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;107611;1104052.Chocolate e achocolatado em pó
1;Brasil;2;%;-2,86;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7233;1104060.Doce de frutas em pasta
1;Brasil;2;%;4,13;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7241;1105.Hortaliças e verduras
1;Brasil;2;%;5,5;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7242;1105001.Alface
1;Brasil;2;%;-1,73;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7244;1105004.Coentro
1;Brasil;2;%;6,56;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7245;1105005.Couve
1;Brasil;2;%;11,91;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7246;1105006.Couve-flor
1;Brasil;2;%;5,36;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7248;1105010.Repolho
1;Brasil;2;%;0,52;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7249;1105012.Cheiro-verde
1;Brasil;2;%;4,24;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7253;1105019.Brócolis
1;Brasil;2;%;-0,7;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7254;1106.Frutas
1;Brasil;2;%;2,06;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7255;1106001.Banana-da-terra
1;Brasil;2;%;-2,75;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7256;1106003.Abacaxi
1;Brasil;2;%;-19,26;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7257;1106004.Abacate
1;Brasil;2;%;-7,27;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7258;1106005.Banana - d'água
1;Brasil;2;%;10,1;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7259;1106006.Banana - maçã
1;Brasil;2;%;3,15;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7260;1106008.Banana - prata
1;Brasil;2;%;0,57;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7262;1106011.Laranja - baía
1;Brasil;2;%;1,96;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7263;1106012.Laranja - lima
1;Brasil;2;%;-24,6;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7265;1106015.Limão
1;Brasil;2;%;4,87;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7266;1106017.Maçã
1;Brasil;2;%;-4,37;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7267;1106018.Mamão
1;Brasil;2;%;2,37;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7268;1106019.Manga
1;Brasil;2;%;10,25;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7269;1106020.Maracujá
1;Brasil;2;%;-6,73;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7270;1106021.Melancia
1;Brasil;2;%;-5,46;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7271;1106022.Melão
1;Brasil;2;%;-0,56;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7272;1106023.Pera
1;Brasil;2;%;-1,73;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7275;1106027.Tangerina
1;Brasil;2;%;-3,51;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7276;1106028.Uva
1;Brasil;2;%;4,88;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7279;1106039.Laranja - pera
1;Brasil;2;%;-9,43;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7280;1106051.Morango
1;Brasil;2;%;-2,47;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7281;1106084.Goiaba
1;Brasil;2;%;-5,04;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7283;1107.Carnes
1;Brasil;2;%;-0,53;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7285;1107009.Fígado
1;Brasil;2;%;-1,78;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7287;1107018.Carne de porco
1;Brasil;2;%;-1,71;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7288;1107031.Carne de carneiro
1;Brasil;2;%;-2,25;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7290;1107081.Cupim
1;Brasil;2;%;-6,76;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7291;1107084.Contrafilé
1;Brasil;2;%;-11,72;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7292;1107085.Filé-mignon
1;Brasil;2;%;-7,69;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7293;1107087.Chã de dentro
1;Brasil;2;%;-8,61;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7294;1107088.Alcatra
1;Brasil;2;%;-7,58;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7295;1107089.Patinho
1;Brasil;2;%;-6,18;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7296;1107090.Lagarto redondo
1;Brasil;2;%;-4,45;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;12294;1107091.Lagarto comum
1;Brasil;2;%;-1,23;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7298;1107093.Músculo
1;Brasil;2;%;-2,37;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7299;1107094.Pá
1;Brasil;2;%;-4,48;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7300;1107095.Acém
1;Brasil;2;%;-5,09;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7301;1107096.Peito
1;Brasil;2;%;-0,33;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;101448;1107097.Capa de filé
1;Brasil;2;%;-1,43;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7302;1107099.Costela
1;Brasil;2;%;-4,02;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;47621;1107208.Picanha
1;Brasil;2;%;0,3;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7303;1108.Pescados
1;Brasil;2;%;0,05;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7305;1108002.Peixe - anchova
1;Brasil;2;%;0,12;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7306;1108004.Peixe - corvina
1;Brasil;2;%;-0,29;1;Brasil;202002;fev/20;355;IPCA15 - Variação mensal;7310;1108012.Peixe - sardinha
