cod;classificacao ;grupo;abertura bcb;alimentos;servicos;servicos_rti;industriais;tradables;nucleo ex0;nucleo ex1;nucleo ex2;nucleo ex3
7169;Geral;Geral;;;;;;;;;;
7170;Grupo;Alimentação e bebidas;;;;;;;;;;
7171;Subgrupo;Alimentação e bebidas;Alimentos;;;;;;;;;
7172;Item;Alimentação e bebidas;Alimentos;Alimentos semi-elaborados;;;;;;;;
7173;Subitem;Alimentação e bebidas;Alimentos;Alimentos semi-elaborados;;;;Comercializáveis;;;;
7175;Subitem;Alimentação e bebidas;Alimentos;Alimentos semi-elaborados;;;;Não comercializáveis;;;;
7176;Subitem;Alimentação e bebidas;Alimentos;Alimentos semi-elaborados;;;;Não comercializáveis;;;;
47617;Subitem;Alimentação e bebidas;Alimentos;Alimentos semi-elaborados;;;;Não comercializáveis;;;;
12222;Subitem;Alimentação e bebidas;Alimentos;Alimentos semi-elaborados;;;;Não comercializáveis;;;;
47618;Subitem;Alimentação e bebidas;Alimentos;Alimentos semi-elaborados;;;;Comercializáveis;;;;
7184;Item;Alimentação e bebidas;Alimentos;Alimentos industrializados;;;;;;EX1;;
7185;Subitem;Alimentação e bebidas;Alimentos;Alimentos industrializados;;;;Comercializáveis;;EX1;;
7187;Subitem;Alimentação e bebidas;Alimentos;Alimentos industrializados;;;;Comercializáveis;;EX1;;
7188;Subitem;Alimentação e bebidas;Alimentos;Alimentos industrializados;;;;Comercializáveis;;EX1;;
7190;Subitem;Alimentação e bebidas;Alimentos;Alimentos industrializados;;;;Não comercializáveis;;EX1;;
7191;Subitem;Alimentação e bebidas;Alimentos;Alimentos industrializados;;;;Comercializáveis;;EX1;;
7195;Subitem;Alimentação e bebidas;Alimentos;Alimentos industrializados;;;;Não comercializáveis;;EX1;;
107608;Subitem;Alimentação e bebidas;Alimentos;Alimentos industrializados;;;;Comercializáveis;;EX1;;
47619;Subitem;Alimentação e bebidas;Alimentos;Alimentos industrializados;;;;Comercializáveis;;EX1;;
7200;Item;Alimentação e bebidas;Alimentos;Alimentos in natura;;;;Não comercializáveis;;;;
7201;Subitem;Alimentação e bebidas;Alimentos;Alimentos in natura;;;;Não comercializáveis;;;;
7202;Subitem;Alimentação e bebidas;Alimentos;Alimentos in natura;;;;Não comercializáveis;;;;
7203;Subitem;Alimentação e bebidas;Alimentos;Alimentos in natura;;;;Não comercializáveis;;;;
7204;Subitem;Alimentação e bebidas;Alimentos;Alimentos in natura;;;;Não comercializáveis;;;;
7206;Subitem;Alimentação e bebidas;Alimentos;Alimentos in natura;;;;Não comercializáveis;;;;
7209;Subitem;Alimentação e bebidas;Alimentos;Alimentos in natura;;;;Não comercializáveis;;;;
7210;Subitem;Alimentação e bebidas;Alimentos;Alimentos in natura;;;;Não comercializáveis;;;;
7212;Subitem;Alimentação e bebidas;Alimentos;Alimentos in natura;;;;Não comercializáveis;;;;
7215;Subitem;Alimentação e bebidas;Alimentos;Alimentos in natura;;;;Não comercializáveis;;;;
7216;Subitem;Alimentação e bebidas;Alimentos;Alimentos in natura;;;;Não comercializáveis;;;;
7219;Item;Alimentação e bebidas;Alimentos;Alimentos industrializados;;;;Comercializáveis;;;;
7220;Subitem;Alimentação e bebidas;Alimentos;Alimentos industrializados;;;;Comercializáveis;;;;
7221;Subitem;Alimentação e bebidas;Alimentos;Alimentos industrializados;;;;Comercializáveis;;;;
12224;Subitem;Alimentação e bebidas;Alimentos;Alimentos industrializados;;;;Comercializáveis;;;;
107609;Subitem;Alimentação e bebidas;Alimentos;Alimentos industrializados;;;;Comercializáveis;;;;
