SEP; FFR ;2023;2024;2025;2026;2027;Longer run
01/09/2023;6,25;;;;;;
01/09/2023;6,13;;1;;;;
01/09/2023;6,00;;;;;;
01/09/2023;5,88;;;;;;
01/09/2023;5,75;;;;;;
01/09/2023;5,63;12;1;1;;;
01/09/2023;5,50;;;;;;
01/09/2023;5,38;7;4;1;;;
01/09/2023;5,25;;;;;;
01/09/2023;5,13;;4;1;;;
01/09/2023;5,00;;;;;;
01/09/2023;4,88;;4;1;2;;
01/09/2023;4,75;;;;;;
01/09/2023;4,63;;3;1;1;;
01/09/2023;4,50;;;;;;
01/09/2023;4,38;;2;;;;
01/09/2023;4,25;;;;;;
01/09/2023;4,13;;;3;2;;
01/09/2023;4,00;;;;;;
01/09/2023;3,88;;;2;1;;
01/09/2023;3,75;;;;;;2
01/09/2023;3,63;;;3;;;
01/09/2023;3,50;;;;;;1
01/09/2023;3,38;;;3;;;
01/09/2023;3,25;;;;;;1
01/09/2023;3,13;;;1;2;;
01/09/2023;3,00;;;;;;1
01/09/2023;2,88;;;1;2;;
01/09/2023;2,75;;;;;;
01/09/2023;2,63;;;1;5;;2
01/09/2023;2,50;;;;1;;8
01/09/2023;2,38;;;;3;;3
01/09/2023;2,25;;;;;;
01/06/2023;6,25;;;;;;
01/06/2023;6,13;1;;;;;
01/06/2023;6,00;;;;;;
01/06/2023;5,88;2;1;;;;
01/06/2023;5,75;;;;;;
01/06/2023;5,63;9;2;1;;;
01/06/2023;5,50;;;;;;
01/06/2023;5,38;4;;;;;
01/06/2023;5,25;;;;;;
01/06/2023;5,13;2;3;;;;
01/06/2023;5,00;;;;;;
01/06/2023;4,88;;2;1;;;
01/06/2023;4,75;;;;;;
01/06/2023;4,63;;2;1;;;
01/06/2023;4,50;;;;;;
01/06/2023;4,38;;6;;;;
01/06/2023;4,25;;;;;;
01/06/2023;4,13;;1;2;;;
01/06/2023;4,00;;;;;;
01/06/2023;3,88;;;1;;;
01/06/2023;3,75;;;;;;
01/06/2023;3,63;;1;2;;;1
01/06/2023;3,50;;;;;;
01/06/2023;3,38;;;3;;;
01/06/2023;3,25;;;;;;1
01/06/2023;3,13;;;3;;;
01/06/2023;3,00;;;;;;1
01/06/2023;2,88;;;1;;;
01/06/2023;2,75;;;;;;2
01/06/2023;2,63;;;2;;;2
01/06/2023;2,50;;;;;;7
01/06/2023;2,38;;;1;;;3
01/06/2023;2,25;;;;;;
01/03/2023;6,00;;;;;;
01/03/2023;5,88;1;;;;;
01/03/2023;5,75;;;;;;
01/03/2023;5,63;3;1;1;;;
01/03/2023;5,50;;;;;;
01/03/2023;5,38;3;1;;;;
01/03/2023;5,25;;;;;;
01/03/2023;5,13;10;2;;;;
01/03/2023;5,00;;;;;;
01/03/2023;4,88;1;;;;;
01/03/2023;4,75;;;;;;
01/03/2023;4,63;;3;;;;
01/03/2023;4,50;;;;;;
01/03/2023;4,38;;2;1;;;
01/03/2023;4,25;;;;;;
01/03/2023;4,13;;5;1;;;
01/03/2023;4,00;;;;;;
01/03/2023;3,88;;2;1;;;
01/03/2023;3,75;;;;;;
01/03/2023;3,63;;1;1;;;1
01/03/2023;3,50;;;;;;
01/03/2023;3,38;;1;2;;;
01/03/2023;3,25;;;;;;1
01/03/2023;3,13;;;4;;;
01/03/2023;3,00;;;;;;1
01/03/2023;2,88;;;4;;;
01/03/2023;2,75;;;;;;
01/03/2023;2,63;;;2;;;1
01/03/2023;2,50;;;;;;8
01/03/2023;2,38;;;1;;;2
01/03/2023;2,25;;;;;;3
01/03/2023;2,13;;;;;;
01/12/2022;5,75;;;;;;
01/12/2022;5,63;2;1;1;;;
01/12/2022;5,50;;;;;;
01/12/2022;5,38;5;;;;;
01/12/2022;5,25;;;;;;
01/12/2022;5,13;10;1;;;;
01/12/2022;5,00;;;;;;
01/12/2022;4,88;2;3;;;;
01/12/2022;4,75;;;;;;
01/12/2022;4,63;;2;;;;
01/12/2022;4,50;;;;;;
01/12/2022;4,38;;;1;;;
01/12/2022;4,25;;;;;;
01/12/2022;4,13;;7;1;;;
01/12/2022;4,00;;;;;;
01/12/2022;3,88;;3;1;;;
01/12/2022;3,75;;;;;;
01/12/2022;3,63;;;2;;;
01/12/2022;3,50;;;;;;
01/12/2022;3,38;;1;2;;;
01/12/2022;3,25;;;;;;1
01/12/2022;3,13;;1;4;;;
01/12/2022;3,00;;;;;;1
01/12/2022;2,88;;;2;;;
01/12/2022;2,75;;;;;;
01/12/2022;2,63;;;4;;;1
01/12/2022;2,50;;;;;;9
01/12/2022;2,38;;;1;;;2
01/12/2022;2,25;;;;;;4
01/12/2022;2,13;;;;;;
01/12/2023;5,38;19;2;1;;;
01/12/2023;5,13;;1;;;;
01/12/2023;4,88;;5;;1;;
01/12/2023;4,63;;6;;;;
01/12/2023;4,38;;4;1;;;
01/12/2023;4,13;;;1;;;
01/12/2023;3,88;;1;4;;;
01/12/2023;3,75;;;;;;1
01/12/2023;3,63;;;3;1;;
01/12/2023;3,50;;;;;;2
01/12/2023;3,38;;;5;1;;
01/12/2023;3,25;;;;;;
